,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
1789,white house russian,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1790,white house easter bunny,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:40,0,0
1791,white house official,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1792,white house staff,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1793,white staff,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
1794,bruh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:53,0,0
1795,hidden white house,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1796,faa,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1797,destroy america,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:48,0,0
1798,using air force one,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1799,asylum,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1800,orange,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1801,orange orangutan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1802,comrade trump,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1803,clancy,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1804,market,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1805,finally,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22:40:30,0,0
1806,yunaleetv breaking- anthony weiner,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,22:40:41,0,0
1807,senate,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1808,senate intelligence committee,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1809,senate intel committee,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1810,ivanka,21,1,21,0,0,0,1,0,0,0,1,0,0,0,0,0,22:40:29,0,3
